commune,Easting,Northing
BALINGHOR,-16.36218333,12.77488056
BIGNONA,-16.23274947,12.80473019
COUBALAN,-16.12062978,12.66658775
DIEGOUNE,-16.39424549,12.84011159
DIOULOULOU,-16.58537974,13.0856383
DJIBIDIONE,-16.28045833,13.08217878
DJINAKY,-16.49796711,12.95375955
ILESKARONE,-16.69261171,12.60473946
KAFOUNTINE,-16.72875152,12.96100119
KARTHIACKK,-16.48697965,12.86200529
MANGAGOULACK,-16.44864149,12.70149702
NIAMONE,-16.28361895,12.73428065
OULAMPANE,-16.07619942,12.93880929
OUONCK,-16.05554501,12.75578351
SINDIAN,-16.16686383,12.96232687
SUELLE,-16.27819375,12.9302439
TENGHORI,-16.21557072,12.83771592
TENGHORITRANSGAMBIENNE,-16.20462229,12.80710534
THIONCK-ESSYL,-16.49421709,12.78419669
