Village code,Village,Commune,Northing,Easting
01-008,NIANKITE,SUELLE,12.97558889,-16.22970278
01-011,CAPARAN,SUELLE,12.866625,-16.318075
01-016,SUELLE ZONE 2,SUELLE,12.95223611,-16.28350556
02-014,DIACOYE COMBOLY,DJIBIDIONE,13.11698333,-16.28390278
02-032,BRINDIAGO,DJIBIDIONE,13.03670833,-16.27595833
03-002,BOUYEME,SINDIAN,13.03270833,-16.120325
03-012,MEDJEDJE ZONE 1,SINDIAN,12.94516667,-16.14360278
03-016,COUROUCK,SINDIAN,12.90413333,-16.13644722
03-019,KAGNAROU ZONE 1,SINDIAN,12.92824167,-16.22505278
03-201,SINDIAN ZONE 2,SINDIAN,12.97201389,-16.16187778
03-401,SINDIAN ZONE 4,SINDIAN,12.97211667,-16.18080833
04-001,MANGUILINE BELFORT ZONE 1,BIGNONA,12.80408333,-16.23557222
04-003,MEDINA PLATEAU ZONE 1,BIGNONA,12.81003056,-16.23809167
04-004,BASSENE ZONE 5,BIGNONA,12.80480278,-16.24154167
04-006,ANIMATION ZONE 5,BIGNONA,12.79573056,-16.22183889
04-008,CHATEAU DEAU ZONE 4,BIGNONA,12.80865556,-16.22843333
05-006,DIARONE,TENGHORI,12.82581111,-16.17321944
05-019,KOUTENGHOR,TENGHORI,12.82772778,-16.24946111
05-028,SOUTOU,TENGHORI,12.87525278,-16.26551667
05-031,TENGHORY 1 ZONE 1,TENGHORI TRANSGAMBIENNE,12.80819167,-16.20217222
05-035,TENGHORY 5 ZONE 2,TENGHORI TRANSGAMBIENNE,12.806125,-16.20683333
06-008,MANDOUARD 2,OUONCK,12.82082222,-16.02644167
06-016,TOGHO,OUONCK,12.741025,-16.09384167
06-023,OUONCK ZONE 2,OUONCK,12.70985556,-16.05730556
07-004,COUBALANG ZONE 2,COUBALAN,12.66366111,-16.16834167
07-005,COUBANAO ZONE 4,COUBALAN,12.67212222,-16.09060556
07-009,FINTHIOCK ZONE 2,COUBALAN,12.66444722,-16.11011944
08-001,TABI,NIAMONE,12.72906389,-16.232475
08-010,NIAMONE ZONE 1,NIAMONE,12.73921389,-16.33198333
09-001,THIONCK ESSYL 1 ZONE 1,THIONCK-ESSYL,12.79380833,-16.48448889
09-004,THIONCK ESSYL 4 ZONE 3,THIONCK-ESSYL,12.77548333,-16.50303611
10-002,ELANA,MANGAGOULACK,12.67616389,-16.43542778
10-007,TENDOUCK ZONE 2,MANGAGOULACK,12.72574444,-16.46128889
11-001,BALINGOR ZONE 2,BALINGHOR,12.77488056,-16.36218333
12-001,KARTIACK ZONE 2,KARTHIACKK,12.85853889,-16.50024444
12-003,DIANKI ZONE 2,KARTHIACKK,12.86507778,-16.47522222
13-001,DIEGOUNE ZONE 2,DIEGOUNE,12.83714444,-16.364075
13-003,KAGNOBON ZONE 1,DIEGOUNE,12.84267778,-16.42033889
14-005,MONGONE,DJINAKY,12.97962778,-16.4628
14-011,KABILINE ZONE 3,DJINAKY,12.95319444,-16.5587
14-016,KACARE,DJINAKY,12.95192222,-16.45960556
14-022,EBINKINE ZONE 2,DJINAKY,12.93521111,-16.49763333
15-003,DIANNAH ZONE 3,KAFOUNTINE,12.97480556,-16.71437222
15-004,ABENE ZONE 4,KAFOUNTINE,13.00013889,-16.72803056
15-201,KAFOUNTINE ZONE 2,KAFOUNTINE,12.92946944,-16.74460556
15-601,KAFOUNTINE ZONE 6,KAFOUNTINE,12.92787222,-16.73397222
16-002,NIOMOUNE ZONE 2,ILES KARONE,12.62056389,-16.64716111
16-003,DIOGUE,ILES KARONE,12.57060833,-16.74227778
16-006,HITOU,ILES KARONE,12.62056389,-16.69200833
17-002,BADIONCOTO,DIOULOULOU,13.06242222,-16.57995833
17-010,DARS SALAM CHERIF ZONE 2,DIOULOULOU,13.07799444,-16.53618611
17-015,DJIBARA,DIOULOULOU,13.06646944,-16.58374167
17-020,KATABA 2,DIOULOULOU,13.01468333,-16.56133056
17-028,MACOUDA,DIOULOULOU,13.14244167,-16.67481111
17-037,SELETY ZONE 1,DIOULOULOU,13.14448333,-16.57683333
18-004,BASSENE MANDOUARD,OULAMPANE,13.087875,-16.35765278
18-016,DIANGO,OULAMPANE,12.88418889,-16.06682778
18-025,GRAND KOULAYE,OULAMPANE,12.97629167,-16.04769444
18-039,MARGOUNE,OULAMPANE,12.89656667,-16.07285278
18-044,SILINKINE ZONE 2,OULAMPANE,12.94913611,-16.00178056
